,symbol,metric,value
3597,WYNN,Avg. Volume,"5,152,500"
3598,XEL,Previous Close,65.55
3599,XEL,Open,65.52
3600,XEL,Bid,64.31 x 900
3601,XEL,Ask,66.75 x 1200
3602,XEL,Day's Range,64.63 - 66.08
3603,XEL,52 Week Range,57.23 - 72.94
3604,XEL,Volume,"2,144,014"
3605,XEL,Avg. Volume,"3,400,447"
3606,XLNX,Previous Close,218.70
3607,XLNX,Open,221.13
3608,XLNX,Bid,214.01 x 1000
3609,XLNX,Ask,219.00 x 800
3610,XLNX,Day's Range,211.26 - 229.40
3611,XLNX,52 Week Range,111.84 - 239.79
3612,XLNX,Volume,"4,255,267"
3613,XLNX,Avg. Volume,"2,260,173"
3614,XYL,Previous Close,130.53
3615,XYL,Open,130.67
3616,XYL,Bid,129.81 x 1000
3617,XYL,Ask,129.85 x 800
3618,XYL,Day's Range,129.59 - 131.53
3619,XYL,52 Week Range,93.60 - 138.78
3620,XYL,Volume,"362,248"
3621,XYL,Avg. Volume,"710,373"
3622,YUM,Previous Close,126.53
3623,YUM,Open,127.52
3624,YUM,Bid,122.65 x 1800
3625,YUM,Ask,126.79 x 1100
3626,YUM,Day's Range,123.79 - 127.99
3627,YUM,52 Week Range,101.18 - 135.77
3628,YUM,Volume,"1,833,398"
3629,YUM,Avg. Volume,"1,523,377"
3630,ZBRA,Previous Close,596.96
3631,ZBRA,Open,603.00
3632,ZBRA,Bid,555.20 x 1300
3633,ZBRA,Ask,588.34 x 1100
3634,ZBRA,Day's Range,579.46 - 605.00
3635,ZBRA,52 Week Range,363.00 - 614.10
3636,ZBRA,Volume,"229,109"
3637,ZBRA,Avg. Volume,"246,104"
3638,ZBH,Previous Close,122.93
3639,ZBH,Open,123.43
3640,ZBH,Bid,119.17 x 800
3641,ZBH,Ask,121.29 x 800
3642,ZBH,Day's Range,120.04 - 123.91
3643,ZBH,52 Week Range,119.55 - 180.36
3644,ZBH,Volume,"1,727,139"
3645,ZBH,Avg. Volume,"1,454,450"
3646,ZION,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
3647,ZTS,Previous Close,223.19
3648,ZTS,Open,224.86
3649,ZTS,Bid,222.39 x 1200
3650,ZTS,Ask,264.00 x 800
3651,ZTS,Day's Range,220.48 - 226.11
3652,ZTS,52 Week Range,141.41 - 228.89
3653,ZTS,Volume,"1,443,763"
3654,ZTS,Avg. Volume,"1,518,404"
